generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1775038292-jFJRFvAENrMu0DKnhM8E,2026-04-01 10:11:32.968,0,,,0,0.87199,174068,66,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,5862,5460,Bustly,gateway-Internal-key
gen-1775038282-J5FYIsOfHhustNY3os4F,2026-04-01 10:11:22.033,0,,,0,0.870055,173251,152,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,8268,5739,Bustly,gateway-Internal-key
gen-1775037773-pUXTyqPh6LsH60uakDP2,2026-04-01 10:02:53.614,0,,,0,0.885385,172212,973,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,24663,4545,Bustly,gateway-Internal-key
gen-1775037234-3rYkWh69noENg8oNc9XX,2026-04-01 09:53:54.747,0,,,0,0.734665,144698,447,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,11004,5069,Bustly,gateway-Internal-key
gen-1775037213-GYwYITPhWpkBJtrGqliy,2026-04-01 09:53:33.374,0,,,0,0.63883,119146,1724,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,33415,4317,Bustly,gateway-Internal-key
gen-1775037204-GrpOAW9s4dxMHRjH29Gd,2026-04-01 09:53:24.255,0,,,0,0.535875,106215,192,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4888,3647,Bustly,gateway-Internal-key
gen-1775037196-Sxm8rUVUB4b9FIOPbsdm,2026-04-01 09:53:16.570,0,,,0,0.53292,105644,188,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4775,3523,Bustly,gateway-Internal-key
gen-1775037188-9AgW8RRurUYKa2yjQzhL,2026-04-01 09:53:08.691,0,,,0,0.72526,144592,92,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,44070,39241,Bustly,gateway-Internal-key
gen-1775037079-C3duKG7sMmHzRTDsXp6g,2026-04-01 09:51:19.157,0.558075,,,0,0,109285,466,0,0,anthropic/claude-4.6-opus-20260205,Azure,standard,false,true,,end_turn,stop,12168,4733,Bustly,gateway-Internal-key
gen-1775037079-ICmr3RudLNZgXogopbnG,2026-04-01 09:51:19.151,0,,,0,0.468085,92712,181,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,126169,40440,Bustly,gateway-Internal-key
gen-1775037079-DYu9PfTOn2stDzwhH2AE,2026-04-01 09:51:19.109,0,,,0,0.8765,136860,7688,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,107349,4567,Bustly,gateway-Internal-key
gen-1775037068-JEcaxThwua30radsHBG1,2026-04-01 09:51:08.432,0,,,0,0.53107,105279,187,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,121806,72643,Bustly,gateway-Internal-key
gen-1775037064-p3mHUrEEs8dBbOrPksFZ,2026-04-01 09:51:04.275,0,,,0,0.96421,166757,5217,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,90561,4971,Bustly,gateway-Internal-key
gen-1775036938-jIxHkrsCAOxldVuXuEXp,2026-04-01 09:48:58.478,0,,,0,0.52462,104384,108,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,128228,76135,Bustly,gateway-Internal-key
gen-1775036807-D7cl2zy6pueKkpo233sb,2026-04-01 09:46:47.022,0,,,0,0.56625,102135,2223,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,47438,3664,Bustly,gateway-Internal-key
gen-1775036798-pFFtgCtehqJAOGCXZsIy,2026-04-01 09:46:38.072,0,,,0,0.283925,55610,235,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,7549,3677,Bustly,gateway-Internal-key
gen-1775036789-Mud3VgXact1WiF9OA8XA,2026-04-01 09:46:29.389,0,,,0,0.27097,53204,198,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4553,3271,Bustly,gateway-Internal-key
gen-1775036782-sjKFGN71yUjfbvmzgGbX,2026-04-01 09:46:22.109,0,,,0,0.268215,52528,223,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4780,2856,Bustly,gateway-Internal-key
gen-1775036776-tCcCTUmIacTdL0WAMAwP,2026-04-01 09:46:16.226,0,,,0,0.2655,52160,188,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4189,2915,Bustly,gateway-Internal-key
gen-1775036765-pnuusvRlEnOozedpBFbg,2026-04-01 09:46:05.216,0,,,0,0.8523,165190,1054,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,238961,43599,Bustly,gateway-Internal-key
gen-1775036704-t7el74afQTjifQBGq4np,2026-04-01 09:45:04.411,0,,,0,0.258825,51220,109,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,70372,49500,Bustly,gateway-Internal-key
gen-1775036679-uioTYVFucE2iIzcpQTm1,2026-04-01 09:44:39.275,0,,,0,0.92338,160281,4879,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,83639,5859,Bustly,gateway-Internal-key
gen-1775036672-Y9Xv2bCpDh3PhmHrwYok,2026-04-01 09:44:32.838,0,,,0,0.7979,159180,80,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,5094,4597,Bustly,gateway-Internal-key
gen-1775036638-Y7ycAyBstGYIFX4qPMl4,2026-04-01 09:43:57.948,0,,,0,0.797125,156775,530,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,13368,5088,Bustly,gateway-Internal-key
gen-1775036567-YtgTn8jcS6LazfQHHL2a,2026-04-01 09:42:47.274,0,,,0,0.785665,156668,93,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,67788,66044,Bustly,gateway-Internal-key
gen-1775036546-4B6kaKDdqKKTo4Hl1AGo,2026-04-01 09:42:26.166,0,,,0,0.2637,51190,310,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,278465,32858,Bustly,gateway-Internal-key
gen-1775036544-NWRrMMVPDiSpAkF1h4ky,2026-04-01 09:42:24.229,0,,,0,0.791895,157859,104,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,126470,61332,Bustly,gateway-Internal-key
gen-1775036541-0uUitMSduLinOaC8qA9p,2026-04-01 09:42:21.037,0,,,0,0.20256,39802,142,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,3526,2237,Bustly,gateway-Internal-key
gen-1775036534-qORWYtmdK0V3Tgp5ln0F,2026-04-01 09:42:14.399,0,,,0,0.20044,39338,150,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,5013,3637,Bustly,gateway-Internal-key
gen-1775036480-BAtvpXInEA9Cr7Of1fgS,2026-04-01 09:41:20.767,0,,,0,0.5596,109285,527,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,808561,60666,Bustly,gateway-Internal-key
gen-1775036475-Ms3hfjEEiqkMRyE3chmf,2026-04-01 09:41:15.051,0,,,0,0.548215,109178,93,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4528,3925,Bustly,gateway-Internal-key
gen-1775036473-2B31kIYSpwcOUd1CryAS,2026-04-01 09:41:12.187,0,,,0,0.183985,36017,156,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,58752,36681,Bustly,gateway-Internal-key
gen-1775036464-clTKX2fY3MZwrmPV5YA9,2026-04-01 09:41:04.060,0,,,0,0.78493,155466,304,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,78830,34359,Bustly,gateway-Internal-key
gen-1775036458-mX2iFzq5CfiycdPfFyy5,2026-04-01 09:40:58.317,0,,,0,0.162225,31445,200,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4143,2892,Bustly,gateway-Internal-key
gen-1775036453-noYh3ckw1bwq2JA2Bs4A,2026-04-01 09:40:53.507,0,,,0,0.95324,148118,8506,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,112462,4428,Bustly,gateway-Internal-key
gen-1775036443-pKNof0RWX602wJuE0vXF,2026-04-01 09:40:43.204,0,,,0,0.74587,147779,279,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,7511,3967,Bustly,gateway-Internal-key
gen-1775036441-A5ifNzZ7aF0GUNIsSqRJ,2026-04-01 09:40:41.670,0,,,0,0.728125,142995,526,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,214757,28004,Bustly,gateway-Internal-key
gen-1775036376-xc26DEnkybqCQtdL6iSV,2026-04-01 09:39:36.384,0,,,0,0.716745,142889,92,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,63873,49586,Bustly,gateway-Internal-key
gen-1775036365-aZzw0AA6sW9TDeodCSB6,2026-04-01 09:39:25.736,0,,,0,0.70431,101202,7932,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,107719,4390,Bustly,gateway-Internal-key
gen-1775036353-9xwRScr95kNtF4WKTg6Q,2026-04-01 09:39:13.962,0,,,0,0.512425,100795,338,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,6957,3324,Bustly,gateway-Internal-key
gen-1775036345-d9LblAvrnomiQFntu3QA,2026-04-01 09:39:05.548,0,,,0,0.78478,156761,39,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,6371,5538,Bustly,gateway-Internal-key
gen-1775036343-Kf4WjO9yAbeoCcT5PKEP,2026-04-01 09:39:03.841,0,,,0,0.510125,100430,319,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,6713,3413,Bustly,gateway-Internal-key
gen-1775036330-o40A1hZ66myiwwUC3mjK,2026-04-01 09:38:50.386,0,,,0,0.73572,146524,124,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,107249,93546,Bustly,gateway-Internal-key
gen-1775036328-GaHnES3TCeTjnYgZgbmI,2026-04-01 09:38:48.319,0,,,0,0.51103,99541,533,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,10684,4963,Bustly,gateway-Internal-key
gen-1775036323-RHzZAVsNCy7o7Tl5TNJV,2026-04-01 09:38:43.591,0,,,0,0.73599,146328,174,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,5716,5273,Bustly,gateway-Internal-key
gen-1775036267-0edWNVSaeQKzmZsGbifL,2026-04-01 09:37:47.372,0,,,0,0.863525,135380,7465,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,107812,4526,Bustly,gateway-Internal-key
gen-1775036255-ol9kW5LfoamEZ1eCuU4R,2026-04-01 09:37:35.440,0.159865,,,0,0,31283,138,0,0,anthropic/claude-4.6-opus-20260205,Azure,standard,false,true,,end_turn,stop,6267,3535,Bustly,gateway-Internal-key
gen-1775036250-CzaoSpyBSUNTctm6oo32,2026-04-01 09:37:30.219,0,,,0,0.157395,30514,193,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,3968,2608,Bustly,gateway-Internal-key
gen-1775036243-L53jApuDONehhbLbuviP,2026-04-01 09:37:22.930,0,,,0,0.1487,29130,122,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,5381,4157,Bustly,gateway-Internal-key
gen-1775036118-AcWozwguFh1Iq0l0QY6v,2026-04-01 09:35:18.517,0,,,0,0.76564,144438,1738,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,198470,57124,Bustly,gateway-Internal-key
gen-1775036096-Ms5TMZr42uBj2PGyHsvB,2026-04-01 09:34:56.817,0,,,0,0.463635,92712,3,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,,,1173730,68789,Bustly,gateway-Internal-key
gen-1775036090-9Z5PEx9sTMYnUjKsOm0x,2026-04-01 09:34:50.113,0,,,0,0.68336,134697,395,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,169987,29389,Bustly,gateway-Internal-key
gen-1775036087-dtzXA8Wxx4VJGNymj5Ys,2026-04-01 09:34:47.177,0,,,0,0.40077,79664,98,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,5390,3667,Bustly,gateway-Internal-key
gen-1775036076-JRDVFHzIZ1CUpmJUKkBm,2026-04-01 09:34:36.643,0,,,0,0.67716,133112,464,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,8736,3828,Bustly,gateway-Internal-key
gen-1775036072-p8sUUFNEp1uQXDgb6y2g,2026-04-01 09:34:32.351,0,,,0,0.511405,98351,786,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,251469,60665,Bustly,gateway-Internal-key
gen-1775036062-N3RjPFYURBpYMUFkkviO,2026-04-01 09:34:22.083,0,,,0,0.66551,131867,247,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,50612,43642,Bustly,gateway-Internal-key
gen-1775036060-1yiPVNZDLz83ub17Eb96,2026-04-01 09:34:20.940,0,,,0,0.70034,135978,818,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,648171,53014,Bustly,gateway-Internal-key
gen-1775036058-4e32qWGhmyar0uqx65rc,2026-04-01 09:34:18.497,0,,,0,0.67727,131709,749,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,13552,3567,Bustly,gateway-Internal-key
gen-1775036053-h9sEIvvtij8hfKV623N3,2026-04-01 09:34:13.023,0.092465,,,0,0,17928,113,0,0,anthropic/claude-4.6-opus-20260205,Azure,standard,false,true,,tool_use,tool_calls,3803,2387,Bustly,gateway-Internal-key
gen-1775036043-WduQdy8oa3sCpi59hF4E,2026-04-01 09:34:03.309,0,,,0,0.08946,15962,386,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,6286,2200,Bustly,gateway-Internal-key
gen-1775036038-5iUpivXLSpJhDjoW9F0w,2026-04-01 09:33:58.940,0,,,0,0.78339,155838,168,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,9159,6350,Bustly,gateway-Internal-key
gen-1775036032-BTLeS2KtLREyEMeLhRnj,2026-04-01 09:33:52.725,0,,,0,0.14865,29130,120,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,78016,21441,Bustly,gateway-Internal-key
gen-1775036028-XLH4Tx1Y6nxjy9g5YKhl,2026-04-01 09:33:48.070,0,,,0,0.081355,15931,68,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,23910,20020,Bustly,gateway-Internal-key
gen-1775036023-Eo54ONftuyPpEzNxO3FI,2026-04-01 09:33:43.361,0,,,0,0.067115,12988,87,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,3666,2278,Bustly,gateway-Internal-key
gen-1775036022-bYmvXCsoKl0w7qizX6dZ,2026-04-01 09:33:42.917,0,,,0,0.793585,154912,761,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,14356,5499,Bustly,gateway-Internal-key
gen-1775036018-nazbObtBLHh6HfSq82pq,2026-04-01 09:33:38.526,0.09035,,,0,0,16050,404,0,0,anthropic/claude-4.6-opus-20260205,Azure,standard,false,true,,tool_use,tool_calls,7403,3144,Bustly,gateway-Internal-key
gen-1775036017-L5pDkw4wU0zXd0hi8uJy,2026-04-01 09:33:37.775,0.06735,,,0,0,13015,91,0,0,anthropic/claude-4.6-opus-20260205,Azure,standard,false,true,,tool_use,tool_calls,3576,2032,Bustly,gateway-Internal-key
gen-1775036013-ouipfzq6m1RDSxo8t4NC,2026-04-01 09:33:33.681,0.10556,,,0,0,18092,604,0,0,anthropic/claude-4.6-opus-20260205,Azure,standard,false,true,,tool_use,tool_calls,12334,6161,Bustly,gateway-Internal-key
gen-1775036013-BvzVL1mwl6dwsRtEKZxg,2026-04-01 09:33:33.670,0.088865,,,0,0,15883,378,0,0,anthropic/claude-4.6-opus-20260205,Azure,standard,false,true,,tool_use,tool_calls,6571,2656,Bustly,gateway-Internal-key
gen-1775036012-GzHnCgezmqXtqHTEEBVz,2026-04-01 09:33:32.247,0,,,0,0.0683,12960,140,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4786,2353,Bustly,gateway-Internal-key
gen-1775036008-DV4dyYGmzFZJXcPqwLIi,2026-04-01 09:33:28.886,0,,,0,0.066975,12935,92,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,3368,1803,Bustly,gateway-Internal-key
gen-1775036006-1SpsGcEbv0JWPMuNWbIH,2026-04-01 09:33:26.589,0,,,0,0.06958,13111,161,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4835,2589,Bustly,gateway-Internal-key
gen-1775035772-mDc0wFKo2ydWDpuncGg7,2026-04-01 09:29:32.023,0,,,0,0.152675,28735,360,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,7542,2581,Bustly,gateway-Internal-key
gen-1775035767-GF7SH7Vy5CppcPcZ0ZJe,2026-04-01 09:29:27.558,0,,,0,0.797655,153551,1196,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,253024,61795,Bustly,gateway-Internal-key
gen-1775035757-A6TAXvDcBXzaC9yAhaRQ,2026-04-01 09:29:17.785,0,,,0,0.69383,138451,63,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,8485,7678,Bustly,gateway-Internal-key
gen-1775035750-bsB7NuVQtUPo5W9rTT7s,2026-04-01 09:29:10.927,0,,,0,0.611735,122032,63,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,5290,4503,Bustly,gateway-Internal-key
gen-1775035744-QJtoN44eQlAP8h91HG6D,2026-04-01 09:29:04.382,0,,,0,0.540725,107670,95,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,5396,4023,Bustly,gateway-Internal-key
gen-1775035736-AQYVzgxN8utd9ys8uUKM,2026-04-01 09:28:56.337,0,,,0,0.536415,107083,40,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,4558,4396,Bustly,gateway-Internal-key
gen-1775035717-aIX5zoN3b7ZqjZx4NyJf,2026-04-01 09:28:36.963,0,,,0,0.13416,22982,770,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,50504,26110,Bustly,gateway-Internal-key
gen-1775035643-gpgessgWng6r9mVZ4kAQ,2026-04-01 09:27:23.424,0,,,0,0.53243,106261,45,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,70338,52294,Bustly,gateway-Internal-key
gen-1775035448-HikxXEpivEKt1qxaFWHd,2026-04-01 09:24:08.544,0,,,0,0.539235,103962,777,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,118735,42511,Bustly,gateway-Internal-key
gen-1775035433-i3EUsqbzFzWNZp0QF22T,2026-04-01 09:23:53.096,0,,,0,0.534795,103004,791,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,13724,3901,Bustly,gateway-Internal-key
gen-1775035318-YbMAaLrmwvf3nCo8E96y,2026-04-01 09:21:58.295,0,,,0,0.530805,102006,831,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,111963,38504,Bustly,gateway-Internal-key
gen-1775035294-Ir2ow7SyORBCiPIPD2fi,2026-04-01 09:21:34.835,0,,,0,0.526395,100979,860,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,21668,4348,Bustly,gateway-Internal-key
gen-1775035280-o4ewdaYC7UnH8aR7ZX5W,2026-04-01 09:21:20.252,0,,,0,0.51404,100383,485,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,11762,4387,Bustly,gateway-Internal-key
gen-1775035271-86fUi8a0zaPx59UB1FU3,2026-04-01 09:21:11.555,0,,,0,0.50706,100037,275,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,5898,3782,Bustly,gateway-Internal-key
gen-1775035168-P63GUi7c8EVVhNXwXIaU,2026-04-01 09:19:28.824,0,,,0,0.75062,147529,519,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,13041,5366,Bustly,gateway-Internal-key
gen-1775035165-1BEBuooC4zY7pLzHzlnK,2026-04-01 09:19:25.057,0,,,0,0.468055,90721,578,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,12734,3785,Bustly,gateway-Internal-key
gen-1775035161-RuLuCIheiI4izktjSBWR,2026-04-01 09:19:21.533,0,,,0,0.739435,147422,93,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,5843,5163,Bustly,gateway-Internal-key
gen-1775035111-ff22Sf6K0EdPmJCKfVLD,2026-04-01 09:18:31.314,0,,,0,0.50318,99551,217,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,157197,38664,Bustly,gateway-Internal-key
gen-1775035097-uJi4zRvc954hNm0j2Z3A,2026-04-01 09:18:16.785,0,,,0,0.455395,90614,93,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,66784,44795,Bustly,gateway-Internal-key
gen-1775035027-ctfJFTa7tMm5cSkszc8c,2026-04-01 09:17:07.748,0,,,0,0.93543,137451,9927,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,132210,3918,Bustly,gateway-Internal-key
gen-1775035017-YXt1ChkFUQ0YLYEMm3Hw,2026-04-01 09:16:57.258,0,,,0,0.68835,136670,200,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,6737,5024,Bustly,gateway-Internal-key
gen-1775035011-jOIIoSSWiSCynUBJN1OH,2026-04-01 09:16:51.262,0,,,0,0.492285,97087,274,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,97400,35102,Bustly,gateway-Internal-key
gen-1775035005-amYyhG1mO6r8pZHjtbIC,2026-04-01 09:16:45.074,0,,,0,0.68568,136021,223,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,7366,4831,Bustly,gateway-Internal-key
gen-1775034999-xr7POSIU9c4jWsVsLdly,2026-04-01 09:16:39.477,0,,,0,0.483175,95640,199,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,7741,3858,Bustly,gateway-Internal-key
gen-1775034994-C0O92pF9OgmOgQG4vKwr,2026-04-01 09:16:32.447,0,,,0,0.677005,134881,104,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,6637,5624,Bustly,gateway-Internal-key
gen-1775034983-js05otwBbJRWP8LsIqUN,2026-04-01 09:16:23.083,0,,,0,0.47287,92194,476,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,63950,50699,Bustly,gateway-Internal-key
gen-1775034977-0T7fMFByM5x38oRUTQ5W,2026-04-01 09:16:17.592,0,,,0,0.46274,92088,92,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4246,3709,Bustly,gateway-Internal-key
